comment_id,comment_link,who_type,who_name,what,why,issues,scientific_legal_support,pdf_attachments_present,pdf_attachments_count
FSIS-2011-0012-0914,https://www.regulations.gov/comment/FSIS-2011-0012-0914,individual,Unknown,Supports the change in poultry inspection,"Believes that the change will benefit American industry, people of all races, and consumers of chicken","Poultry inspection, Impact on American industry, Dietary impact on consumers",No,No,0
FSIS-2011-0012-0915,https://www.regulations.gov/comment/FSIS-2011-0012-0915,individual,Unknown,Urges the USDA to withdraw the rule allowing faster poultry line speeds until extensive research on its impacts is conducted and the results are made public,"Concerned about the potential increase in injuries to workers due to faster line speeds, as workers may already be underreporting injuries or not being taken seriously by employers. Additionally, there is a lack of comprehensive effort to determine the effects of faster line speeds and changes in safety protocols on worker health and safety. Concerns are also raised about the potential harm to consumers from the new rule, including issues like missed fecal contamination on carcasses by company inspectors.","Increase in worker injuries at faster line speeds, Underreporting of injuries by poultry workers, Lack of comprehensive studies on the impact of faster line speeds on worker health and safety, Potential consumer harm from new poultry inspection rule, Missed fecal contamination in HIMP plants",Yes,No,0
FSIS-2011-0012-0917,https://www.regulations.gov/comment/FSIS-2011-0012-0917,individual,Unknown,Opposes self-inspection by the poultry industry; Questions the feasibility of a single inspector examining 175 birds per minute,"Concerns about the safety of food for personal and family consumption, expressing doubt that the proposed rule will ensure the safety of poultry products","Self-inspection in the poultry industry, Inspector workload and effectiveness",No,No,0
FSIS-2011-0012-0916,https://www.regulations.gov/comment/FSIS-2011-0012-0916,anonymous,Unknown,Strongly opposes the USDA's proposed Rule for poultry inspection modernization,"Believes that allowing poultry producers to conduct more inspections compromises the integrity and effectiveness of the inspections, potentially increasing the risk of food-borne diseases. Expresses concern that the USDA is failing in its duty to protect the public from such diseases, as evidenced by rising numbers of outbreaks and sickness. Highlights that even USDA employees have warned against the rule and its potential negative effects.","Compromised integrity of poultry inspections, Rising food-borne disease outbreaks, USDA's failure to protect public health",No,No,0
FSIS-2011-0012-0920,https://www.regulations.gov/comment/FSIS-2011-0012-0920,individual,Unknown,Supports the modernization of the poultry inspection process,"Believes that the proposed method, which has been piloted in 20 operations with Salmonella rates equal to or less than traditional methods, is more effective. The modern method allows the establishment to remove defects before the inspector conducts the final examination, ensuring the plant meets its responsibilities. This method also provides inspectors with time away from the line for better training and equipping to deal with modern poultry operations, rather than inspecting thousands of healthy chickens. Emphasizes that inspectors would be more valuable understanding and verifying the plant's food safety systems rather than looking for invisible bacteria like Campylobacter and Salmonella.","Modernization of poultry inspection, Effectiveness of new inspection methods compared to traditional methods, Training and responsibilities of inspectors, Detection and management of bacteria like Campylobacter and Salmonella in poultry",No,No,0
FSIS-2011-0012-0919,https://www.regulations.gov/comment/FSIS-2011-0012-0919,anonymous,Unknown,Requests government inspection of poultry slaughter,Concerned about the humane treatment of poultry and the safety of poultry products; Believes self-regulation by the poultry industry would lead to increased cruelty and contamination,"Humane treatment of poultry, Safety of poultry products, Self-regulation by the poultry industry",No,No,0
FSIS-2011-0012-0918,https://www.regulations.gov/comment/FSIS-2011-0012-0918,individual,Gary,Requests clarification on how sorters can detect diseases at increased speeds and how FSIS can identify if birds have been vacuumed and eviscerated,"Gary is concerned about the efficiency and accuracy of disease detection in poultry processing and the classification of these issues as mere quality concerns rather than significant health risks. He is also apprehensive about the potential introduction of birds from overseas, which could complicate or exacerbate existing quality and health issues.","Efficiency of disease detection in poultry processing, Classification of health issues as quality concerns, Regulatory standards for poultry processing, Potential introduction of overseas birds",Yes,Yes,1
FSIS-2011-0012-0921,https://www.regulations.gov/comment/FSIS-2011-0012-0921,individual,Woodrow T. Johnson,Requests discontinuation of Project Model HIMP plants and replacement with traditional poultry inspection; Requests halting the proposal for the Modernization of Poultry Inspection,"Concerned that the new proposal may compromise food safety and believes that traditional inspection methods are proven effective in preventing contamination and adulteration of poultry products. Expresses distrust in the motivations behind the proposal, suggesting it caters to the demands of the Poultry Industry rather than public health needs.","Food safety concerns, Inadequacy of HIMP inspection model, Influence of Poultry Industry on inspection standards",No,No,0
FSIS-2011-0012-0922,https://www.regulations.gov/comment/FSIS-2011-0012-0922,anonymous,Unknown,Requests to not let the poultry industry be self-regulated,Concerned about safeguarding public health,"Self-regulation of the poultry industry, Public health risks",No,No,0
FSIS-2011-0012-0923,https://www.regulations.gov/comment/FSIS-2011-0012-0923,anonymous,Unknown,"Requests changes to allow inspectors to concentrate on offline activity to better review fecal contamination, good commercial practices, and other critical activities",Believes that allowing inspectors to focus on offline activities rather than traditional methods will enhance food safety by providing a more thorough review of critical health and safety concerns,"Food safety, Inspection methods, Public health protection",No,No,0
FSIS-2011-0012-0924,https://www.regulations.gov/comment/FSIS-2011-0012-0924,anonymous,Unknown,"Support for a policy or measure that promotes American agriculture, saves money, increases productivity, creates more jobs, and helps in exporting products to decrease trade imbalance","The commenter supports the policy as it is expected to save money and enhance American agriculture, which in turn will create more jobs due to increased productivity. This job creation and productivity increase are seen as beneficial for promoting the export of products, which could help in decreasing the trade imbalance.","Promotion of American agriculture, Economic benefits from increased productivity, Job creation, Export promotion, Decreasing trade imbalance",No,No,0
FSIS-2011-0012-0925,https://www.regulations.gov/comment/FSIS-2011-0012-0925,individual,Unknown,Urges to find an alternative method to update the poultry inspection line that does not increase speed and harm worker health,Concerned about the severe working conditions similar to sweatshops described in current poultry inspection lines; emphasizes the role of OSHA in protecting worker safety and believes that worker health should not be compromised for cost savings; highlights the unethical nature of deregulation for corporate profit at the expense of worker and environmental health; points out the correlation between pollution and increased cancer rates as a significant public health issue,"Poor working conditions in poultry inspection lines, Potential health risks from increased line speed, Ethical concerns regarding worker safety and environmental health, Correlation between pollution and cancer rates",No,No,0
FSIS-2011-0012-0926,https://www.regulations.gov/comment/FSIS-2011-0012-0926,individual,Karen Young,Opposes the proposed changes that could lead to lower food safety standards,"Concerned that the proposed changes will result in consumers purchasing food products with imperfections such as IP, Airsaculitus, bruises, feathers, or tumors, which inspectors currently prevent to ensure food safety and reduce food-borne illnesses and potential deaths","Food safety standards, Risk of food-borne illnesses, Quality of food products",No,No,0
FSIS-2011-0012-0927,https://www.regulations.gov/comment/FSIS-2011-0012-0927,individual,Blake Bentley,Urges the USDA not to remove federal inspectors from turkey and chicken slaughter lines,"Concerned about the health of the animals and the humans consuming them, as well as the humane treatment of the animals","Health of animals, Health of humans consuming poultry, Humane treatment of animals",No,No,0
FSIS-2011-0012-0928,https://www.regulations.gov/comment/FSIS-2011-0012-0928,individual,Woodrow T. Johnson,Requests the abandonment of the Modernization of Poultry Slaughter Plants proposal; Requests FSIS and Secretary of Agriculture to maintain current inspection policies,"Concerns that the proposal is primarily designed to benefit the poultry industry financially at the expense of public health by allowing the industry to self-regulate; Doubts about the effectiveness of the proposed pathogen control plans, as they do not involve increased testing for Salmonella or Campylobacter by FSIS; Criticizes the misleading statements by FSIS Administrator Albert Almanza regarding the safety checks and the role of veterinarians in plants","Misleading statements by FSIS officials, Self-regulation by the poultry industry, Inadequate pathogen testing, Potential increase in contaminated poultry products, Consumer opposition to the proposal",No,Yes,1
FSIS-2011-0012-0929,https://www.regulations.gov/comment/FSIS-2011-0012-0929,organization,Southern Poverty Law Center,Urges withdrawal of the proposed rule 'Modernization of Poultry Slaughter Inspection'; Requests a comprehensive study on the impacts of increased line speed and new food safety protocols on worker health and safety; Demands incorporation of adequate measures for worker protection in the regulations,"Concerned about the potential health and safety risks posed to thousands of poultry slaughter and processing workers by the proposed rule, particularly due to increased line speed and changes in food safety protocols which have not been adequately studied or addressed in the current proposal","Health and safety risks for poultry workers, Inadequate worker protection measures in proposed regulations, Potential negative impacts of increased line speed, Lack of comprehensive studies on new food safety protocols",Yes,Yes,1
FSIS-2011-0012-0932,https://www.regulations.gov/comment/FSIS-2011-0012-0932,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact on animal welfare has not been adequately studied, and increased line speeds could lead to more injuries and inhumane deaths among birds. Additionally, fewer USDA inspectors could result in decreased detection and response to inhumane handling.","Animal welfare in poultry slaughter, Increased line speed risks, Reduced USDA inspector oversight",No,No,0
FSIS-2011-0012-0931,https://www.regulations.gov/comment/FSIS-2011-0012-0931,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact of the proposal on the handling of live birds has not been adequately studied, and increased line speeds could lead to more injuries and inhumane deaths among birds. Additionally, fewer USDA inspectors could result in decreased detection and response to signs of inhumane handling.","Animal welfare risks due to increased line speeds, Inadequate monitoring of animal handling by inspectors",No,No,0
FSIS-2011-0012-0930,https://www.regulations.gov/comment/FSIS-2011-0012-0930,individual,Nancy Vilavanh,"Requests a thorough completion of studies before passing the rule on modernizing poultry slaughter inspection, Requests consideration of worker safety and just working conditions","Concerned about the potential for increased profits to compromise the quality of inspections, the human impossibility of inspecting over 10,000 birds per hour at proposed line speeds, and the lack of published safety data from NIOSH and OSHA regarding safe working speeds. Additionally, there are concerns about the exacerbation of work-related injuries due to increased line speeds and the disparity in treatment between federal inspectors and underpaid slaughterhouse employees.","Inspection quality compromised by profit motives, Human impossibility of inspecting sufficient numbers of birds, Lack of published safety data on working speeds, Exacerbation of work-related injuries, Disparity in treatment between federal inspectors and slaughterhouse employees",Yes,Yes,1
FSIS-2011-0012-0935,https://www.regulations.gov/comment/FSIS-2011-0012-0935,anonymous,Unknown,Requests rejection or delay of the poultry slaughter inspection proposal,"Concerned about the lack of study on the impact of the proposal on the handling of live birds, and the potential increase in animal welfare issues such as injuries, bruises, fractures, and inhumane deaths due to increased line speeds. Also concerned about reduced detection and handling of inhumane treatment due to fewer USDA inspectors.","Animal welfare in poultry slaughter, Impact of increased line speeds on birds, Reduced effectiveness of USDA inspections",No,No,0
FSIS-2011-0012-0933,https://www.regulations.gov/comment/FSIS-2011-0012-0933,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal,"Concerned that the proposal has not been adequately studied with respect to its impact on animal welfare, particularly noting that increased line speeds could lead to more injuries and improper deaths of birds. Additionally, fewer USDA inspectors could result in decreased detection and response to inhumane handling of birds.","Animal welfare risks due to increased line speeds, Reduced effectiveness of USDA inspections, Inhumane handling of birds",No,No,0
FSIS-2011-0012-0934,https://www.regulations.gov/comment/FSIS-2011-0012-0934,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal until the issue of animal welfare can be adequately studied and any potential negative consequences addressed,"Concerned that the increased line speed under the new proposal could lead to more injuries like bruises and fractures among birds, and increase instances of birds dying in ways other than by prescribed methods of slaughter, such as drowning in the scalding tank. Also worried that fewer USDA inspectors monitoring carcasses will reduce the detection and proper handling of signs that birds have been inhumanely treated.","Animal welfare risks due to increased line speed, Reduced effectiveness of USDA inspections under new proposal, Inhumane treatment of birds in slaughterhouses",No,No,0
FSIS-2011-0012-0938,https://www.regulations.gov/comment/FSIS-2011-0012-0938,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact on animal welfare has not been adequately studied, and increased line speeds could lead to more injuries and inhumane deaths among birds. Additionally, fewer USDA inspectors could result in decreased detection and handling of inhumane treatment.","Animal welfare in poultry slaughter, Increased line speed risks, Insufficient USDA inspector oversight",No,No,0
FSIS-2011-0012-0937,https://www.regulations.gov/comment/FSIS-2011-0012-0937,anonymous,Unknown,Requests humane treatment of all animals about to be slaughtered,Concerned about the abusive treatment of animals before slaughter,Abusive treatment of animals before slaughter,No,No,0
FSIS-2011-0012-0936,https://www.regulations.gov/comment/FSIS-2011-0012-0936,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact on animal welfare has not been adequately studied, and increased line speeds could lead to more injuries and inhumane deaths among birds. Additionally, fewer USDA inspectors could result in decreased detection and response to inhumane handling.","Animal welfare risks due to increased line speeds, Inadequate detection of inhumane handling due to fewer USDA inspectors",No,No,0
FSIS-2011-0012-0939,https://www.regulations.gov/comment/FSIS-2011-0012-0939,anonymous,Unknown,Requests rejection or delay of the poultry slaughter inspection proposal until the issue of animal welfare can be adequately studied and any potential negative consequences addressed,"Concerned that increased line speeds in poultry processing could lead to higher incidences of animal injuries such as bruises and fractures, and instances of birds dying in ways other than prescribed methods of slaughter, such as drowning in scalding tanks. Also worried that fewer USDA inspectors on site would reduce the detection and proper handling of inhumane treatment of birds.","Animal welfare in poultry processing, Increased line speed risks, Reduced USDA inspector oversight",No,No,0
FSIS-2011-0012-0940,https://www.regulations.gov/comment/FSIS-2011-0012-0940,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact on the handling of live birds has not been studied, and increased line speed could worsen animal welfare by increasing injuries and improper deaths. Fewer USDA inspectors could lead to reduced detection and handling of inhumane treatment.","Animal welfare in poultry slaughter, Insufficient study on handling live birds, Reduced USDA inspection and its effects",No,No,0
FSIS-2011-0012-0941,https://www.regulations.gov/comment/FSIS-2011-0012-0941,anonymous,Unknown,Requests rejection or delay of the poultry slaughter inspection proposal until the issue of animal welfare can be adequately studied and any potential negative consequences addressed,"Concerned that increased line speeds in poultry processing could lead to higher incidences of animal injuries such as bruises and fractures, and instances of birds dying in ways other than prescribed methods of slaughter, such as drowning in scalding tanks. Also worried that fewer USDA inspectors on site would reduce the detection and proper handling of inhumane treatment of birds.","Animal welfare in poultry processing, Increased line speed risks, Reduction of USDA inspectors' oversight",No,No,0
FSIS-2011-0012-0943,https://www.regulations.gov/comment/FSIS-2011-0012-0943,anonymous,Unknown,Requests not to fail these animals,"Expresses a concern for the welfare of animals, implying that current measures or actions might be failing them",Animal welfare concerns,No,No,0
FSIS-2011-0012-0942,https://www.regulations.gov/comment/FSIS-2011-0012-0942,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The proposal has not adequately studied the impact on the handling of live birds, and increased line speeds could lead to more injuries and inhumane deaths among birds. Additionally, fewer USDA inspectors could result in decreased detection and response to inhumane handling.","Animal welfare risks due to increased line speeds, Inadequate study of live bird handling under new proposal, Reduced detection of inhumane handling due to fewer USDA inspectors",No,No,0
FSIS-2011-0012-0946,https://www.regulations.gov/comment/FSIS-2011-0012-0946,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal until the issue of animal welfare can be adequately studied and any potential negative consequences addressed,"Concerned that the increased line speed under the new proposal could lead to more injuries like bruises and fractures among birds, and increase instances of birds dying in ways other than prescribed methods of slaughter, such as drowning in the scalding tank. Also worried that fewer USDA inspectors monitoring carcasses will reduce the detection and proper handling of inhumane treatment of birds.","Animal welfare risks due to increased line speed, Reduced effectiveness of USDA inspections, Inhumane treatment of birds",No,No,0
FSIS-2011-0012-0944,https://www.regulations.gov/comment/FSIS-2011-0012-0944,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal until the issue of animal welfare can be adequately studied and any potential negative consequences addressed,"Concerned that increased line speeds in poultry processing could lead to higher incidences of animal injuries such as bruises and fractures, and instances of birds dying in non-prescribed methods such as drowning in scalding tanks. Also worried that fewer USDA inspectors on the line would reduce the detection and handling of inhumane treatment of birds.","Animal welfare in poultry processing, Increased line speed risks, Reduced USDA inspector oversight",No,No,0
FSIS-2011-0012-0945,https://www.regulations.gov/comment/FSIS-2011-0012-0945,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal,"Concerned that the impact on animal welfare has not been studied, particularly noting that increased line speeds could lead to more injuries and improper deaths of birds. Also concerned about the reduction in USDA inspectors, which could decrease the detection and management of inhumane treatment of birds.","Animal welfare risks due to increased line speeds, Reduced detection of inhumane treatment due to fewer USDA inspectors",No,No,0
FSIS-2011-0012-0949,https://www.regulations.gov/comment/FSIS-2011-0012-0949,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact on animal welfare has not been adequately studied, and the proposed increase in line speed could lead to more injuries and inhumane deaths among birds. Additionally, fewer USDA inspectors could result in decreased detection and response to inhumane handling.","Animal welfare in poultry slaughter, Increased incidence of bird injuries, Reduced effectiveness of USDA inspections",No,No,0
FSIS-2011-0012-0947,https://www.regulations.gov/comment/FSIS-2011-0012-0947,individual,Unknown,Requests to ensure a humane slaughter for chicken and turkey,"Believes that as a sophisticated and humane society, it is a basic responsibility to ensure humane treatment of animals",Humane slaughter of poultry,No,No,0
FSIS-2011-0012-0948,https://www.regulations.gov/comment/FSIS-2011-0012-0948,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal,"Concerned about the lack of study on the impact of the proposal on the handling of live birds, and the potential increase in animal welfare issues such as injuries and improper deaths due to increased line speeds. Also concerned about reduced detection and handling of inhumane treatment due to fewer USDA inspectors.","Animal welfare risks due to increased line speeds, Inadequate study on handling of live birds, Reduced effectiveness of USDA inspections",No,No,0
FSIS-2011-0012-0952,https://www.regulations.gov/comment/FSIS-2011-0012-0952,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal until the issue of animal welfare can be adequately studied and any potential negative consequences addressed,"Concerned that the increased line speed under the new proposal could lead to more injuries like bruises and fractures among birds, and increase instances of birds dying in ways not prescribed by slaughter methods (e.g., drowning in the scalding tank). Also worried that fewer USDA inspectors monitoring carcasses will reduce the detection and proper handling of inhumane treatment signs.","Animal welfare risks due to increased line speed, Reduced effectiveness of USDA inspections in detecting inhumane treatment",No,No,0
FSIS-2011-0012-0951,https://www.regulations.gov/comment/FSIS-2011-0012-0951,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal until the issue of animal welfare can be adequately studied and any potential negative consequences addressed,"Concerned that increased line speeds in poultry processing could lead to higher incidences of animal injuries such as bruises and fractures, and instances of birds dying in ways not prescribed by slaughter methods, such as drowning in scalding tanks. Also worried that fewer USDA inspectors on site would reduce the detection and proper handling of inhumane treatment of birds.","Animal welfare in poultry processing, Increased line speed risks, Reduction of USDA inspectors' oversight",No,No,0
FSIS-2011-0012-0950,https://www.regulations.gov/comment/FSIS-2011-0012-0950,anonymous,Unknown,Reject or delay the implementation of the poultry slaughter inspection proposal,"The impact on animal welfare has not been adequately studied, and increased line speeds could lead to more injuries and inhumane deaths among birds. Fewer USDA inspectors could result in decreased detection and handling of inhumane treatment.","Animal welfare risks due to increased line speeds, Inadequate study of animal welfare impacts, Reduced detection of inhumane treatment due to fewer inspectors",No,No,0
FSIS-2011-0012-0954,https://www.regulations.gov/comment/FSIS-2011-0012-0954,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact on the handling of live birds has not been studied, and increased line speed could worsen animal welfare by increasing injuries and improper deaths. Fewer USDA inspectors could lead to less detection and proper handling of inhumane treatment.","Animal welfare in poultry slaughter, Insufficient study on handling live birds, Reduced USDA inspector oversight",No,No,0
FSIS-2011-0012-0955,https://www.regulations.gov/comment/FSIS-2011-0012-0955,individual,Unknown,Requests not to worsen the timing or inspection requirements,"Concerned that the process, already susceptible to abuse, will become even more inhumane under new rules","Process susceptibility to abuse, Inhumane treatment under new rules",No,No,0
FSIS-2011-0012-0953,https://www.regulations.gov/comment/FSIS-2011-0012-0953,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal,Concerned that the impact on animal welfare has not been studied; Increased line speeds may lead to more injuries and inhumane deaths of birds; Fewer USDA inspectors could result in decreased detection and response to inhumane treatment,"Animal welfare in poultry slaughter, Increased incidence of injuries in birds, Reduced effectiveness of USDA inspections",No,No,0
FSIS-2011-0012-0956,https://www.regulations.gov/comment/FSIS-2011-0012-0956,anonymous,Unknown,Reject the rule change or delay its implementation,Concerned about the impact on the chickens and turkeys being slaughtered,Impact on poultry welfare during slaughter,No,No,0
FSIS-2011-0012-0957,https://www.regulations.gov/comment/FSIS-2011-0012-0957,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact of the proposal on the handling of live birds has not been studied, increasing line speed could lead to more injuries and inhumane deaths among birds, and fewer USDA inspectors could result in less detection and proper handling of inhumane treatment","Animal welfare risks due to increased line speed, Inadequate study of live bird handling under new proposal, Reduced effectiveness of USDA inspections",No,No,0
FSIS-2011-0012-0960,https://www.regulations.gov/comment/FSIS-2011-0012-0960,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact on animal welfare has not been adequately studied, and the proposed increase in line speed could lead to more injuries and deaths of birds in ways not prescribed by slaughter methods. Additionally, fewer USDA inspectors could result in decreased detection of inhumane handling of birds.","Animal welfare in poultry slaughter, Insufficient study on the impact of increased line speed, Reduced effectiveness of USDA inspections",No,No,0
FSIS-2011-0012-0958,https://www.regulations.gov/comment/FSIS-2011-0012-0958,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact on the handling of live birds has not been studied, and increased line speed could worsen animal welfare by increasing injuries and improper deaths. Fewer USDA inspectors could lead to less detection and resolution of inhumane handling.","Animal welfare in poultry slaughter, Insufficient study on handling live birds, Reduced effectiveness of USDA inspections",No,No,0
FSIS-2011-0012-0959,https://www.regulations.gov/comment/FSIS-2011-0012-0959,anonymous,Unknown,Reject or delay the poultry slaughter inspection proposal,"The impact on the handling of live birds has not been studied, and increased line speed could lead to more injuries and inhumane deaths among birds. Fewer USDA inspectors could result in decreased detection and response to signs of inhumane handling.","Animal welfare risks due to increased line speed, Inadequate monitoring of animal handling by inspectors",No,No,0
FSIS-2011-0012-0961,https://www.regulations.gov/comment/FSIS-2011-0012-0961,individual,Pam Vise,"Improve the inspection process for the killing of livestock, Ensure humane and quick killing methods, Prevent livestock from witnessing the killing of others",Concerned about the adverse effects of reducing the number of inspectors on the humane treatment of livestock; Believes that witnessing the killing process is horrific for the animals,"Inspection process for livestock killing, Humane treatment of livestock, Psychological impact on livestock",No,No,0
FSIS-2011-0012-0962,https://www.regulations.gov/comment/FSIS-2011-0012-0962,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal,"Concerned about the lack of study on the impact of the proposal on the handling of live birds, the risk to animal welfare due to increased line speed leading to potential injuries and improper deaths, and reduced detection of inhumane handling due to fewer USDA inspectors","Animal welfare risks due to increased line speed, Inadequate study on handling of live birds, Reduced USDA inspector oversight",No,No,0
FSIS-2011-0012-0963,https://www.regulations.gov/comment/FSIS-2011-0012-0963,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal,"Concerned that the impact on the handling of live birds has not been studied, and that increased line speeds will lead to more injuries and inhumane deaths among birds. Also worried that fewer USDA inspectors will result in reduced detection and handling of inhumane treatment.","Animal welfare in poultry slaughter, Insufficient study on handling live birds, Reduced USDA inspection and its impact on animal welfare",No,No,0
FSIS-2011-0012-0965,https://www.regulations.gov/comment/FSIS-2011-0012-0965,individual,Unknown,Requests careful consideration to change the USDA's inspection system for the slaughter of chickens and turkeys,"Concerned about the ethical treatment of animals during slaughter, emphasizing that animals experience pain, anguish, and fear similar to humans. The commenter believes that if animals must be sacrificed for meat consumption, they should be killed as quickly and painlessly as possible.","Ethical treatment of animals in slaughterhouses, USDA oversight and inspection systems",No,No,0
FSIS-2011-0012-0966,https://www.regulations.gov/comment/FSIS-2011-0012-0966,individual,Christine Shala,Requests rejection of the new regulation,Concerned about the welfare of birds and the safety of workers involved in the process; Believes the proposed change will exacerbate issues related to animal cruelty,"Animal welfare concerns, Worker safety concerns",No,No,0
FSIS-2011-0012-0964,https://www.regulations.gov/comment/FSIS-2011-0012-0964,anonymous,Unknown,Requests the rejection or delay of the poultry slaughter inspection proposal,Concerned that the impact on animal welfare has not been studied; Increased line speeds could lead to more injuries and improper deaths of birds; Fewer USDA inspectors could result in decreased detection and response to inhumane treatment of birds,"Animal welfare in poultry slaughter, Increased line speeds causing injuries, Decreased USDA inspector oversight",No,No,0
